"","AAV_CTL_1","AAV_CTL_2","AAV_CTL_3","AAV_TH_Cbln1_1","AAV_TH_Cbln1_2","AAV_TH_Cbln1_3"
"AR_gene",-0.101631986456862,-0.380160277454069,-0.723875069997652,0.0236298707628626,0.798334507487491,0.119354891612643
"Ar",3.90800459922781,3.89135910570723,3.77904219641916,3.79025887254654,3.9508811002791,3.64800874741507
"Tmprss2",1.56995231121644,1.72299360463446,1.80094461630409,1.14729888280405,3.22331303070485,3.21286889652496
"Nkx3-1",1.84952975692487,0.700679407558855,0.915328911063156,0.42559894830864,3.78688487204893,4.6491920147888
"Plpp1",5.48727062355733,4.36913672698463,4.46212484447368,5.63759949494266,5.46819831889514,5.47742250232431
"Pmepa1",7.73115129524633,8.05977329531087,7.73041011167003,7.94998531388826,7.93453451157281,7.71645362360786
"Aldh1a3",5.88696138847931,6.92540354314128,6.3493419567613,6.42261656929845,6.89812426541772,5.47368646485808
"Steap4",3.11224807308073,2.68185042044187,2.82422182669315,3.56931244530962,3.59760971285731,3.12032805009314
"Fkbp5",6.86468237116532,6.15915211025083,6.38193169538516,7.15676461587291,7.29243267232887,7.21193353558535
